"Cabecera","Curul","Distrito","Entidad","Nombre","Tipodeelección","Fecha","Titulo","Sentido","Circunscripción"
"Jesús María","A-009","1","Aguascalientes","Dip. J. Pilar Moreno Montoya","Mayoría Relativa",NA,NA,NA,NA
"Aguascalientes","H-248","2","Aguascalientes","Dip. María Teresa Jiménez Esquivel","Mayoría Relativa",NA,NA,NA,NA
"Aguascalientes","A-002","3","Aguascalientes","Dip. José Ángel González Serna","Mayoría Relativa",NA,NA,NA,NA
"Mexicali","B-038","1","Baja California","Dip. Benjamin Castillo Valdez","Mayoría Relativa",NA,NA,NA,NA
"Mexicali","C-068","2","Baja California","Dip. María Fernanda Schroeder Verdugo","Mayoría Relativa",NA,NA,NA,NA
"Ensenada","C-069","3","Baja California","Dip. Gilberto Antonio Hirata Chico","Mayoría Relativa",NA,NA,NA,NA
"Tijuana","C-067","4","Baja California","Dip. María Elia Cabañas Aparicio","Mayoría Relativa",NA,NA,NA,NA
"Tijuana","H-244","5","Baja California","Dip. Juan Manuel Gastélum Buenrostro","Mayoría Relativa",NA,NA,NA,NA
"Tijuana","H-267","6","Baja California","Dip. Jaime Chris López Alvarado","Mayoría Relativa",NA,NA,NA,NA
"Mexicali","I-303","7","Baja California","Dip. David Pérez Tejada Padilla","Mayoría Relativa",NA,NA,NA,NA
"Tijuana","B-039","8","Baja California","Dip. Mayra Karina Robles Aguirre","Mayoría Relativa",NA,NA,NA,NA
"Campeche","L-420","1","Campeche","Dip. Landy Margarita Berzunza Novelo","Mayoría Relativa",NA,NA,NA,NA
"Ciudad del Carmen","L-421","2","Campeche","Dip. Rocío Adriana Abreu Artiñano","Mayoría Relativa",NA,NA,NA,NA
"Piedras Negras","L-425","1","Coahuila","Dip. Irma Elizondo Ramírez (DECESO)","Mayoría Relativa",NA,NA,NA,NA
"San Pedro","L-424","2","Coahuila","Dip. José Luis Flores Méndez","Mayoría Relativa",NA,NA,NA,NA
"Monclova","G-203","3","Coahuila","Dip. Mario Alberto Dávila Delgado","Mayoría Relativa",NA,NA,NA,NA
"Saltillo","L-427","4","Coahuila","Dip. Fernando Donato De las Fuentes Hernández","Mayoría Relativa",NA,NA,NA,NA
"Torreón","L-423","5","Coahuila","Dip. Salomón Juan Marcos Issa","Mayoría Relativa",NA,NA,NA,NA
"Torreón","D-094","6","Coahuila","Dip. Marcelo de Jesús Torres Cofiño","Mayoría Relativa",NA,NA,NA,NA
"Saltillo","J-331","7","Coahuila","Dip. Esther Quintana Salinas","Mayoría Relativa",NA,NA,NA,NA
"Colima","K-378","1","Colima","Dip. Miguel Ángel Aguayo López","Mayoría Relativa",NA,NA,NA,NA
"Manzanillo","K-377","2","Colima","Dip. Francisco Alberto Zepeda González","Mayoría Relativa",NA,NA,NA,NA
"Palenque","J-342","1","Chiapas","Dip. Lourdes Adriana López Moreno","Mayoría Relativa",NA,NA,NA,NA
"Bochil","J-337","2","Chiapas","Dip. Pedro Gómez Gómez","Mayoría Relativa",NA,NA,NA,NA
"Ocosingo","K-387","3","Chiapas","Dip. Amílcar Augusto Villafuerte Trujillo","Mayoría Relativa",NA,NA,NA,NA
"Ocozocoautla de Espinosa","J-340","4","Chiapas","Dip. Harvey Gutiérrez Álvarez","Mayoría Relativa",NA,NA,NA,NA
"San Cristóbal de las Casas","J-338","5","Chiapas","Dip. Luis Gómez Gómez","Mayoría Relativa",NA,NA,NA,NA
